CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-CNT-0014;CONECTOR DE BOMBA;;;20;26;0;0;26;NO CONTADO
RYG-CNT-0015;CONECTOR DE CIGÜEÑAL O LEVAS;;;20;17;0;0;17;NO CONTADO
RYG-CNT-0016;CONECTOR DE FLUJO;NISSAN;;30;0;4;0;4;NO CONTADO
RYG-CNT-0017;CONECTOR DE INTERFAST MACHO;;;20;10;0;3;7;NO CONTADO
RYG-CNT-0018;CONECTOR DE INYECTOR;4E;;20;21;0;1;20;NO CONTADO
RYG-CNT-0019;CONECTOR DE INYECTOR;TOYOTA YARIS- PROBOX;;20;23;0;0;23;NO CONTADO
RYG-CNT-0020;CONECTOR DE INYECTOR RAIL;;;20;3;0;0;3;NO CONTADO
RYG-CNT-0021;CONECTOR DE LEVA;NISSAN HR;;20;20;0;0;20;NO CONTADO
RYG-CNT-0022;CONECTOR DE MANOMETRO AUGE;;;20;10;0;2;8;NO CONTADO
RYG-CNT-0023;CONECTOR DE MAP;HYUNDAI ( 4 PIN);;20;10;0;0;10;NO CONTADO
RYG-CNT-0024;CONECTOR DE OBTURADOR;HYUNDAI;;20;14;0;0;14;NO CONTADO
RYG-CNT-0025;CONECTOR DE RELAY;;;20;40;0;8;32;NO CONTADO
RYG-CNT-0026;CONECTOR DE SENSOR DE TEMPERATURA DE REDUCTOR;HYUNDAI;;20;14;0;0;14;NO CONTADO
RYG-CNT-0027;CONECTOR DE SENSOR IAC;;;20;66;0;3;63;NO CONTADO
RYG-CNT-0028;CONECTOR DISTRIBUIDOR;DAEWOO/ SENSOR DE TEMPERATURA CHEVROLET;;20;15;0;0;15;NO CONTADO
RYG-CNT-0029;CONECTOR DISTRIBUIDOR;NISSAN;;20;10;0;0;10;NO CONTADO
RYG-CNT-0030;CONECTOR DISTRIBUIDOR;NISSAN 7 PINES;;20;9;0;0;9;NO CONTADO
RYG-CNT-0031;CONECTOR EJE DE LEVA;;;20;20;0;0;20;NO CONTADO
RYG-CNT-0032;CONECTOR EJE LEVA QG;;;20;9;0;0;9;NO CONTADO
RYG-CNT-0033;CONECTOR FICHA BOSH : HEMBRA (2 PINES);;;20;18;0;9;9;CONTADO
RYG-CNT-0034;CONECTOR FICHA BOSH HEMBRA (3 PINES);;;20;25;0;2;23;NO CONTADO
RYG-CNT-0035;CONECTOR FICHA BOSH: 4 PINES;;;25;0;0;0;0;NO CONTADO
RYG-CNT-0036;CONECTOR FICHA BOSH: MACHO;;;20;46;0;1;45;NO CONTADO
RYG-CNT-0037;CONECTOR FLUJO;TOYOTA PROBOX;;20;27;0;1;26;NO CONTADO
RYG-CNT-0038;CONECTOR FLUJO NISSAN QG;;;20;9;0;2;7;NO CONTADO
RYG-CNT-0039;CONECTOR IAC;NISSAN;;20;4;0;1;3;NO CONTADO
RYG-CNT-0040;CONECTOR INTERFACE HEMBRA;;;20;23;0;1;22;NO CONTADO
RYG-CNT-0041;CONECTOR INYECTOR;BRC;;20;2;0;0;2;NO CONTADO
RYG-CNT-0042;CONECTOR INYECTOR;CHEVROLET SAIL;;20;9;0;9;0;CONTADO
RYG-CNT-0043;CONECTOR MAP AEB;;;20;9;0;1;8;NO CONTADO
RYG-CNT-0044;CONECTOR MAP BRC;;;20;8;0;1;7;NO CONTADO
RYG-CNT-0045;CONECTOR MAP CON VACIO;TOYOTA 3S-5A-4E;;20;17;0;2;15;NO CONTADO
RYG-CNT-0046;CONECTOR MAP LOVATO;;;20;18;0;3;15;NO CONTADO
RYG-CNT-0047;CONECTOR MAP/ SENSOR TPS;TOYOTA COROLLA;;20;15;0;0;15;NO CONTADO
RYG-CNT-0048;CONECTOR OBTURADOR;TOYOTA;;20;17;0;0;17;NO CONTADO
RYG-CNT-0049;CONECTOR SENSOR DE MINIMO;TOYOTA PROBOX;;20;20;0;5;15;NO CONTADO
RYG-CNT-0050;CONECTOR THERMOSWHIT TICO;DAEWOO;;20;20;0;0;20;NO CONTADO
RYG-CNT-0051;CONECTOR TPS;JAC REFINE;;20;24;0;2;22;NO CONTADO
RYG-CNT-0052;CONECTOR TPS;TOYOTA PROBOX / 4E;;20;7;0;1;6;NO CONTADO
RYG-CNT-0053;CONECTOR VVTI;NISSAN;;20;19;0;0;19;NO CONTADO
RYG-CNT-0054;CONECTOR VVTI;TOYOTA;;20;19;0;1;18;NO CONTADO
RYG-CNT-0055;CONECTOR FICHA BOSH 4 PIN;;;0;0;0;0;0;
RYG-CNM-0001;CONMUTADOR;ITATRONIC;;150;0;1;1;0;NO CONTADO
RYG-CNM-0002;CONMUTADOR 5TA;AEB;;150;73;0;6;67;NO CONTADO
RYG-CNM-0003;CONMUTADOR 5TA;BRC (4 PIN);;280;2;0;0;2;NO CONTADO
RYG-CNM-0004;CONMUTADOR 5TA;BRC ( 5 PIN);;250;0;0;0;0;NO CONTADO
RYG-CNM-0005;CONMUTADOR 5TA;LOVATO;;160;14;0;0;14;NO CONTADO
RYG-CNM-0006;CONMUTADOR 5TA;STAG;;140;2;0;0;2;NO CONTADO
RYG-CNM-0007;CONMUTADOR 5TA;LANDIRENZO;;160;3;0;1;2;NO CONTADO
RYG-CNM-0008;CONMUTADOR AEB CARBURADO (TERCERA);ESTÁNDAR;722;120;2;30;17;15;NO CONTADO
RYG-CNM-0009;CONMUTADOR AEB INYECTADO (TERCERA);ESTÁNDAR;725;120;13;16;8;21;NO CONTADO
RYG-CNM-0010;CONMUTADOR DIGITAL;;;150;12;0;0;12;NO CONTADO
RYG-CNM-0011;CONMUTADOR TERCERA CARBURADO IGT SIN MANOMETRO;ESTANDAR;;120;8;0;0;8;NO CONTADO
RYG-CON-0001;CONO GLP 6MM;ESTANDAR;;1;0;0;0;0;NO CONTADO
RYG-CON-0002;CONO GLP 8MM;ESTANDAR;;1;0;0;0;0;NO CONTADO
RYG-CON-0003;CONO GNV 6MM;ESTANDAR;;1;0;0;0;0;NO CONTADO
RYG-CUE-0001;CUERPÓS DE UNION DE CAÑERIA;;;25;29;0;0;29;NO CONTADO
RYG-DIA-0001;DIAFRAGMA 3ERA GLP BRC;;;130;26;0;0;26;NO CONTADO
RYG-DIA-0002;DIAFRAGMA 3ERA GLP LOVATO;;;130;14;0;3;11;NO CONTADO
RYG-DIA-0003;DIAFRAGMA 3ERA GLP TOMASETTO;;;130;16;0;6;10;NO CONTADO
RYG-DIA-0004;DIAFRAGMA 3ERA GLP ZAVOLI;;;130;10;0;0;10;NO CONTADO
RYG-DIA-0005;DIAFRAGMA 3ERA GNV LOVATO;;;130;70;0;1;69;NO CONTADO
RYG-DIA-0006;DIAFRAGMA 3RA GNV T.A.;;;130;15;0;0;15;NO CONTADO
RYG-DIA-0007;DIAFRAGMA 3RA GNV TOMASETTO ITALIANO;;;130;9;0;2;7;NO CONTADO
RYG-DIA-0008;DIAFRAGMA 5TA GLP;LOVATO;674000587;130;9;0;1;8;NO CONTADO
RYG-DIA-0009;DIAFRAGMA 5TA GLP ANTARTIC;;;130;8;0;0;8;NO CONTADO
RYG-DIA-0010;DIAFRAGMA 5TA GLP BRC;;;130;14;0;2;12;NO CONTADO
RYG-DIA-0011;DIAFRAGMA 5TA GLP LANDIRENZO;;;130;16;0;1;15;NO CONTADO
RYG-DIA-0012;DIAFRAGMA 5TA GLP TOMASETTO ( 3 CAPA);;;130;25;0;3;22;NO CONTADO
RYG-DIA-0013;DIAFRAGMA 5TA GLP TOMASETTO NORDIC (2 CAPA);;;130;18;0;3;15;NO CONTADO
RYG-DIA-0014;DIAFRAGMA 5TA GLP ZAVOLI;;;130;11;0;2;9;NO CONTADO
RYG-DIA-0015;DIAFRAGMA 5TA GNV;LANDIRENZO / LOVATO;674000686;130;20;0;0;20;NO CONTADO
RYG-DIA-0016;DIAFRAGMA 5TA GNV ARGENTINO;;;130;28;0;0;28;NO CONTADO
RYG-DIA-0017;DIAFRAGMA 5TA GNV DE AGUA;;;130;8;0;0;8;NO CONTADO
RYG-DIA-0018;DIAFRAGMA 5TA GNV LOVATO ANTIGUO;;674709000;130;20;0;1;19;NO CONTADO
RYG-DIA-0019;DIAFRAGMA 5TA GNV LOVATO MODERNO;;674800000;130;30;0;3;27;NO CONTADO
RYG-DIA-0020;DIAFRAGMA 5TA GNV MODERNO ( CORTADO);LOVATO;67400363;130;6;0;1;5;NO CONTADO
RYG-DIA-0021;DIAFRAGMA 5TA GNV TOMASETTO ACHILLE;;;130;3;0;0;3;NO CONTADO
RYG-DIA-0022;DIAFRAGMA 5TA GNV TOMASETTO AT12;;;130;37;0;5;32;NO CONTADO
RYG-DIA-0023;DIAFRAGMA 5TA GNV TOMASETTO NORMAL;;;130;4;0;0;4;NO CONTADO
RYG-DIA-0024;DIAFRAGMA 5TA GNV TOMASETTO ORIGINAL;;;130;3;0;0;3;NO CONTADO
RYG-DIS-0001;DISCO DE CORTE - NORTHON 41/2;ESTÁNDAR;;5;75;0;0;75;NO CONTADO
RYG-DIS-0002;DISPOSITIVO NOT PROBLEM;BRC;;0;1;0;0;1;NO CONTADO
RYG-ELC-0001;ELECTRONICA 4 CIL;;;850;1;25;21;5;NO CONTADO
RYG-ELC-0002;ELECTRONICA AEB 6 CILINDROS;;;1300;0;2;1;1;NO CONTADO
RYG-ELC-0003;ELECTRONICA AEB 8 CILINDROS;;;1500;0;2;1;1;NO CONTADO
RYG-ELC-0004;ELECTRONICA IGT;;;0;1;0;0;1;NO CONTADO
RYG-ELV-0001;ELECTROVALVULA DE GAS;ESTÁNDAR;;130;6;0;2;4;NO CONTADO
RYG-ELV-0002;ELECTROVALVULA DE GAS;BRC;;0;2;0;0;2;NO CONTADO
RYG-ELV-0003;ELECTROVALVULA DE GAS;STAG;;0;1;0;0;1;NO CONTADO
RYG-ELV-0004;ELECTROVALVULA DE GAS GNV;TOMASETTO;;130;4;0;0;4;NO CONTADO
RYG-ELV-0005;ELECTROVALVULA DE GASOLINA;ESTÁNDAR;;130;4;10;7;7;NO CONTADO
RYG-EMU-0001;EMULADOR AUTOGAS;ESTÁNDAR;;220;11;0;1;10;NO CONTADO
RYG-EQP-0001;EQUIPO COMPLETO 5TA GLP;BRC;;2500;4;3;0;7;NO CONTADO
RYG-EQP-0002;EQUIPO COMPLETO 5TA GLP;LANDIRENZO;;2800;2;3;2;3;NO CONTADO
RYG-EQP-0003;EQUIPO COMPLETO 5TA GNV;BRC;;2500;3;0;0;3;NO CONTADO
